animal_type,breed,sex_upon_intake,sex_upon_outcome,age_upon_intake,age_upon_outcome,intake_type,intake_condition,outcome_type,time_in_shelter_days
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 month,1 month,Stray,Normal,Transfer,2.113888888888889
Dog,German Shepherd Mix,Intact Male,Intact Male,2 months,2 months,Stray,Normal,Transfer,4.917361111111111
Dog,Catahoula Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,0.9243055555555556
Dog,Black Mouth Cur Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,269.9451388888889
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 months,3 months,Stray,Normal,Transfer,38.97083333333333
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,5 months,5 months,Stray,Normal,Transfer,3.838194444444445
Dog,Pit Bull Mix,Intact Male,Intact Male,2 years,2 years,Stray,Normal,Return to Owner,0.90625
Dog,American Pit Bull Terrier Mix,Intact Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Transfer,63.90833333333333
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,7.189583333333333
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,0.20208333333333336
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,4.25
Dog,Australian Kelpie Mix,Intact Female,Intact Female,12 years,12 years,Stray,Normal,Euthanasia,170.19097222222223
Dog,Jack Russell Terrier,Intact Male,Intact Male,3 months,3 months,Stray,Normal,Return to Owner,3.10625
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,12.979166666666666
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,9 months,10 months,Owner Surrender,Normal,Adoption,6.08125
Dog,Swedish Vallhund Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,4.022222222222222
Dog,Pit Bull Mix,Intact Female,Spayed Female,7 years,7 years,Owner Surrender,Normal,Adoption,4.16875
Dog,Pit Bull Mix,Intact Female,Spayed Female,4 years,4 years,Stray,Pregnant,Adoption,101.96319444444444
Dog,Rottweiler Mix,Neutered Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,80.97291666666666
Dog,Dachshund/Chihuahua Shorthair,Neutered Male,Neutered Male,3 years,3 years,Owner Surrender,Normal,Return to Owner,0.09305555555555556
Dog,Australian Shepherd Mix,Neutered Male,Neutered Male,4 months,4 months,Owner Surrender,Normal,Adoption,0.09305555555555556
Dog,Chihuahua Shorthair Mix,Spayed Female,Spayed Female,6 years,6 years,Stray,Injured,Return to Owner,0.26666666666666666
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,10.857638888888893
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,28.924305555555556
Dog,German Shepherd Mix,Intact Male,Neutered Male,9 months,9 months,Stray,Normal,Return to Owner,4.252777777777778
Dog,Chihuahua Shorthair Mix,Spayed Female,Spayed Female,2 years,2 years,Public Assist,Normal,Return to Owner,7.034027777777778
Dog,Labrador Retriever,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,11.994444444444444
Dog,American Staffordshire Terrier Mix,Spayed Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Return to Owner,3.071527777777778
Dog,Mastiff Mix,Neutered Male,Neutered Male,7 years,7 years,Stray,Normal,Return to Owner,2.183333333333333
Dog,Labrador Retriever/German Shepherd,Intact Female,Spayed Female,4 months,4 months,Stray,Normal,Transfer,7.280555555555556
Dog,Blue Lacy/Pit Bull,Intact Male,Neutered Male,8 years,8 years,Stray,Normal,Return to Owner,3.941666666666667
Dog,Coton De Tulear Mix,Intact Male,Neutered Male,4 years,4 years,Stray,Normal,Adoption,5.104861111111111
Cat,American Shorthair Mix,Intact Female,Spayed Female,2 weeks,1 month,Stray,Nursing,Adoption,46.18333333333334
Dog,Black Mouth Cur Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,8.274305555555555
Dog,Dachshund Mix,Neutered Male,Neutered Male,4 months,4 months,Public Assist,Normal,Transfer,13.872222222222222
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Transfer,0.825
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,4 weeks,2 months,Stray,Normal,Adoption,55.11805555555556
Dog,German Shepherd Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,3.2930555555555556
Dog,Boston Terrier,Intact Female,Intact Female,4 years,4 years,Stray,Normal,Return to Owner,1.0263888888888888
Dog,Jack Russell Terrier Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Adoption,8.863888888888889
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Injured,Transfer,1.04375
Dog,Labrador Retriever/Border Collie,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,0.3138888888888889
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,7.883333333333334
Dog,German Shepherd Mix,Intact Male,Neutered Male,4 years,4 years,Stray,Normal,Adoption,5.2965277777777775
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 months,3 months,Stray,Normal,Transfer,3.946527777777778
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,3 weeks,3 months,Stray,Normal,Adoption,66.96527777777777
Dog,Rottweiler,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Adoption,36.25763888888889
Cat,Manx Mix,Intact Female,Intact Female,2 months,3 months,Stray,Normal,Transfer,26.976388888888888
Dog,Miniature Poodle Mix,Neutered Male,Neutered Male,8 years,8 years,Owner Surrender,Normal,Adoption,30.252777777777776
Dog,St. Bernard Smooth Coat Mix,Neutered Male,Neutered Male,2 years,2 years,Public Assist,Normal,Euthanasia,25.777083333333337
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,14.258333333333333
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 days,4 days,Stray,Normal,Transfer,1.1333333333333333
Cat,Siamese Mix,Intact Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Adoption,7.141666666666667
Dog,Dachshund/Chihuahua Shorthair,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,10.018055555555556
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,5.8375
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,30.17569444444445
Dog,Dachshund Mix,Intact Male,Neutered Male,2 months,2 months,Owner Surrender,Normal,Adoption,1.054861111111111
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 months,3 months,Stray,Normal,Transfer,0.8520833333333333
Dog,Australian Kelpie Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,6.246527777777778
Dog,Beagle,Neutered Male,Neutered Male,11 years,11 years,Stray,Injured,Euthanasia,0.13958333333333334
Dog,Beagle Mix,Intact Male,Neutered Male,8 years,8 years,Stray,Normal,Transfer,12.06388888888889
Dog,Pit Bull Mix,Intact Female,Intact Female,2 years,2 years,Public Assist,Normal,Transfer,38.19861111111111
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 week,1 week,Stray,Normal,Transfer,6.9444444444444e-4
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Transfer,8.029861111111112
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,7 months,7 months,Stray,Injured,Euthanasia,0.04930555555555555
Dog,Boxer,Spayed Female,Spayed Female,4 years,4 years,Public Assist,Normal,Return to Owner,8.760416666666666
Dog,Chihuahua Shorthair Mix,Intact Male,Intact Male,1 month,1 month,Public Assist,Normal,Return to Owner,1.2125
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.970833333333333
Dog,Pit Bull Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,71.12013888888889
Cat,Siamese Mix,Intact Male,Intact Male,4 weeks,1 month,Stray,Normal,Died,7.867361111111111
Dog,Black Mouth Cur Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,1.198611111111111
Cat,Domestic Shorthair Mix,Unknown,Unknown,6 months,7 months,Stray,Normal,Died,2.841666666666667
Dog,Pointer Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,23.700694444444448
Dog,Staffordshire Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,29.728472222222223
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Transfer,0.4493055555555556
Dog,Great Pyrenees Mix,Intact Female,Intact Female,4 months,5 months,Stray,Sick,Transfer,2.79375
Dog,German Shepherd Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,6.166666666666667
Cat,Domestic Shorthair Mix,Unknown,Unknown,1 year,1 year,Stray,Normal,Transfer,3.2868055555555555
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Stray,Normal,Return to Owner,3.225
Dog,Chow Chow Mix,Intact Male,Neutered Male,3 years,3 years,Stray,Normal,Adoption,25.139583333333334
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,32.765277777777776
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,4 years,4 years,Stray,Normal,Return to Owner,1.1201388888888888
Dog,American Bulldog Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,35.03125
Dog,Scottish Terrier Mix,Intact Female,Spayed Female,3 years,3 years,Public Assist,Normal,Return to Owner,39.803472222222226
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,24.994444444444444
Dog,Rat Terrier Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,4.14375
Dog,Miniature Schnauzer Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,4.148611111111111
Cat,Siamese Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,5.144444444444445
Dog,Border Collie/Great Pyrenees,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,4.129166666666666
Dog,Toy Poodle Mix,Spayed Female,Spayed Female,3 years,3 years,Public Assist,Normal,Return to Owner,4.428472222222222
Dog,Pit Bull Mix,Intact Female,Intact Female,3 months,3 months,Stray,Normal,Transfer,3.005555555555556
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Adoption,1.1854166666666666
Dog,Australian Cattle Dog,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,3.1486111111111112
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,4.229166666666667
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,6 years,6 years,Owner Surrender,Normal,Adoption,7.096527777777778
Dog,Catahoula/Whippet,Spayed Female,Spayed Female,6 months,7 months,Owner Surrender,Normal,Adoption,29.01875
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Stray,Normal,Adoption,6.254166666666666
Dog,Cairn Terrier Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.228472222222222
Dog,Pit Bull Mix,Intact Male,Neutered Male,3 years,3 years,Public Assist,Normal,Return to Owner,10.05625
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,3 months,3 months,Owner Surrender,Normal,Adoption,2.19375
Dog,Pit Bull Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,16.554861111111112
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 months,3 months,Stray,Normal,Transfer,0.9145833333333332
Cat,Domestic Longhair Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,6.232638888888889
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 year,1 year,Stray,Injured,Euthanasia,0.00833333333333333
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,7.281944444444444
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,4.081944444444445
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 weeks,1 month,Stray,Normal,Died,5.951388888888889
Dog,English Shepherd Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Transfer,6.726388888888889
Dog,Labrador Retriever Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,11.200694444444446
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,4.042361111111111
Dog,Pit Bull Mix,Neutered Male,Neutered Male,4 years,4 years,Owner Surrender,Normal,Euthanasia,0.7097222222222223
Cat,Domestic Medium Hair Mix,Intact Female,Spayed Female,3 years,3 years,Stray,Normal,Transfer,9.743055555555555
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 months,2 months,Owner Surrender,Normal,Adoption,3.895138888888889
Dog,Australian Cattle Dog Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Transfer,94.93333333333334
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 weeks,2 months,Stray,Normal,Adoption,49.66180555555555
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,2 months,Stray,Normal,Adoption,4.252777777777778
Cat,Domestic Shorthair,Neutered Male,Neutered Male,5 years,5 years,Owner Surrender,Normal,Transfer,5.166666666666667
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,5 months,5 months,Stray,Normal,Euthanasia,0.8875
Dog,Border Collie Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,10.315277777777778
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,6 months,6 months,Stray,Normal,Transfer,3.1805555555555554
Dog,American Pit Bull Terrier Mix,Neutered Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Return to Owner,14.5125
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 month,2 months,Owner Surrender,Normal,Adoption,1.1645833333333333
Dog,Miniature Schnauzer/Miniature Poodle,Neutered Male,Neutered Male,8 years,8 years,Public Assist,Normal,Return to Owner,9.7625
Dog,Pomeranian Mix,Intact Female,Intact Female,9 years,9 years,Public Assist,Normal,Return to Owner,0.1625
Dog,Pit Bull Mix,Intact Male,Neutered Male,4 months,4 months,Stray,Normal,Adoption,5.090972222222222
Dog,Miniature Poodle/Maltese,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Adoption,7.055555555555555
Dog,Rhod Ridgeback Mix,Spayed Female,Spayed Female,7 years,7 years,Owner Surrender,Normal,Transfer,83.2625
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,5 months,5 months,Owner Surrender,Normal,Adoption,3.1416666666666666
Cat,Domestic Longhair Mix,Intact Male,Intact Male,1 month,1 month,Stray,Normal,Adoption,18.290972222222223
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,2 weeks,2 months,Stray,Normal,Adoption,53.92777777777778
Dog,Rat Terrier Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,15.04375
Dog,Chihuahua Shorthair/Jack Russell Terrier,Spayed Female,Spayed Female,4 years,4 years,Owner Surrender,Normal,Adoption,4.022916666666666
Dog,Dachshund Mix,Neutered Male,Neutered Male,5 years,5 years,Owner Surrender,Normal,Transfer,4.152083333333334
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,4 months,5 months,Stray,Normal,Transfer,18.87986111111111
Dog,Pit Bull Mix,Intact Male,Intact Male,4 years,4 years,Owner Surrender,Normal,Euthanasia,4.05625
Cat,Siamese Mix,Neutered Male,Neutered Male,8 years,8 years,Owner Surrender,Normal,Transfer,5.105555555555555
Dog,Pit Bull Mix,Intact Male,Intact Male,10 months,10 months,Stray,Normal,Return to Owner,3.9583333333333335
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Adoption,88.13819444444445
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,55.958333333333336
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Transfer,0.8006944444444445
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,1 month,1 month,Stray,Normal,Adoption,10.99027777777778
Dog,Pit Bull Mix,Spayed Female,Spayed Female,4 years,4 years,Stray,Normal,Return to Owner,10.74375
Cat,Domestic Medium Hair Mix,Intact Female,Intact Female,5 months,5 months,Stray,Normal,Transfer,0.8930555555555556
Dog,Pointer Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,5.0625
Dog,Labrador Retriever/Pointer,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,14.427777777777775
Dog,Chihuahua Shorthair Mix,Spayed Female,Spayed Female,7 years,7 years,Stray,Normal,Transfer,4.008333333333334
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,6 months,6 months,Stray,Normal,Adoption,12.172916666666667
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 month,2 months,Stray,Normal,Transfer,1.948611111111111
Dog,Rat Terrier Mix,Intact Male,Neutered Male,9 months,10 months,Stray,Normal,Transfer,9.751388888888888
Dog,Border Collie Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Return to Owner,15.7
Dog,Border Terrier/Standard Schnauzer,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,1.2861111111111112
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,5 weeks,2 months,Stray,Normal,Adoption,33.08125
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,14 years,14 years,Stray,Normal,Return to Owner,0.06597222222222222
Cat,Siamese Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Nursing,Adoption,221.71597222222223
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,6 days,6 days,Stray,Normal,Transfer,0.07083333333333333
Cat,Siamese Mix,Intact Female,Intact Female,1 month,2 months,Stray,Normal,Transfer,3.919444444444444
Dog,Pit Bull Mix,Neutered Male,Neutered Male,2 years,2 years,Public Assist,Normal,Return to Owner,10.878472222222223
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Return to Owner,0.18472222222222223
Dog,Border Collie Mix,Intact Male,Intact Male,1 year,1 year,Stray,Normal,Return to Owner,1.0354166666666669
Cat,Domestic Medium Hair Mix,Intact Male,Neutered Male,1 year,1 year,Owner Surrender,Normal,Adoption,50.03680555555555
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,1 year,1 year,Stray,Normal,Transfer,0.8118055555555556
Dog,Miniature Poodle Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Injured,Adoption,31.06597222222222
Dog,Wire Hair Fox Terrier/Beagle,Intact Male,Neutered Male,1 month,2 months,Owner Surrender,Normal,Adoption,1.211111111111111
Cat,Siamese,Intact Male,Neutered Male,1 month,1 month,Owner Surrender,Normal,Adoption,1.132638888888889
Dog,Pit Bull Mix,Spayed Female,Spayed Female,8 years,8 years,Stray,Normal,Return to Owner,0.27291666666666664
Dog,Soft Coated Wheaten Terrier Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,5.904861111111112
Dog,Greyhound,Intact Male,Intact Male,4 years,4 years,Public Assist,Normal,Transfer,16.738194444444446
Dog,Beagle Mix,Intact Female,Intact Female,8 months,9 months,Stray,Normal,Transfer,6.0875
Dog,Chihuahua Shorthair Mix,Neutered Male,Neutered Male,8 years,8 years,Owner Surrender,Normal,Transfer,10.234722222222222
Dog,Labrador Retriever Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,0.06041666666666667
Cat,Domestic Longhair Mix,Intact Male,Intact Male,1 month,1 month,Stray,Normal,Transfer,11.02152777777778
Dog,Australian Cattle Dog/Treeing Walker Coonhound,Neutered Male,Neutered Male,6 years,6 years,Stray,Normal,Return to Owner,0.9305555555555556
Dog,Boxer Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,4.775
Dog,Boxer Mix,Intact Male,Neutered Male,9 months,10 months,Stray,Normal,Transfer,15.319444444444445
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,3 months,3 months,Stray,Normal,Adoption,6.8909722222222225
Dog,Australian Shepherd Mix,Intact Female,Spayed Female,4 months,4 months,Stray,Normal,Adoption,3.1875
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,2 months,2 months,Stray,Normal,Adoption,8.097222222222221
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,2 years,2 years,Owner Surrender,Normal,Adoption,9.11875
Dog,Pit Bull Mix,Intact Female,Spayed Female,7 months,7 months,Stray,Normal,Transfer,7.147916666666666
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,4 months,4 months,Stray,Normal,Adoption,4.215277777777778
Dog,Rottweiler,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,50.28333333333333
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 weeks,2 months,Stray,Normal,Adoption,47.94305555555556
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,2 months,Stray,Normal,Adoption,17.261805555555554
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,2 months,6 months,Owner Surrender,Normal,Adoption,111.28819444444444
Dog,Pit Bull Mix,Spayed Female,Spayed Female,1 year,1 year,Public Assist,Normal,Return to Owner,5.911805555555556
Dog,Chow Chow,Spayed Female,Spayed Female,14 years,14 years,Public Assist,Normal,Return to Owner,9.004166666666666
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,3 months,3 months,Stray,Normal,Transfer,0.8631944444444445
Dog,Pit Bull/Pointer,Spayed Female,Spayed Female,2 years,2 years,Owner Surrender,Normal,Adoption,50.239583333333336
Cat,Domestic Longhair Mix,Neutered Male,Neutered Male,1 year,1 year,Stray,Feral,Transfer,1.0493055555555555
Dog,Pit Bull Mix,Intact Male,Intact Male,2 years,2 years,Public Assist,Normal,Return to Owner,8.91875
Dog,Australian Cattle Dog/Dalmatian,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Adoption,8.061111111111112
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,2 years,2 years,Public Assist,Normal,Return to Owner,8.236805555555556
Dog,Miniature Poodle Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,4.227083333333334
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,2 years,2 years,Stray,Normal,Transfer,24.228472222222223
Dog,Boxer,Intact Female,Intact Female,9 years,9 years,Stray,Injured,Euthanasia,2.182638888888889
Dog,Basset Hound,Spayed Female,Spayed Female,7 years,7 years,Owner Surrender,Normal,Adoption,11.866666666666667
Dog,Pit Bull Mix,Intact Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,46.01180555555556
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 months,4 months,Stray,Normal,Adoption,61.138888888888886
Dog,Australian Cattle Dog Mix,Spayed Female,Spayed Female,2 years,2 years,Stray,Normal,Adoption,12.204166666666667
Cat,Domestic Medium Hair Mix,Intact Male,Neutered Male,3 weeks,2 months,Stray,Normal,Adoption,47.177083333333336
Cat,Domestic Shorthair Mix,Intact Male,Intact Male,0 years,0 years,Owner Surrender,Normal,Transfer,0.10208333333333332
Dog,Pit Bull Mix,Intact Female,Spayed Female,1 year,1 year,Owner Surrender,Normal,Adoption,3.2083333333333335
Dog,Labrador Retriever Mix,Intact Female,Spayed Female,1 month,1 month,Stray,Normal,Adoption,4.218055555555556
Dog,Collie Rough Mix,Intact Female,Intact Female,1 month,1 month,Stray,Normal,Transfer,1.0618055555555554
Dog,Belgian Malinois Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,2.3826388888888888
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,8.330555555555556
Dog,Jack Russell Terrier Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,5.190277777777778
Dog,German Shepherd Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Adoption,9.217361111111112
Dog,Pit Bull Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Return to Owner,2.1083333333333334
Dog,Pug Mix,Intact Male,Intact Male,15 years,15 years,Stray,Injured,Return to Owner,0.14791666666666667
Dog,Pit Bull Mix,Spayed Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Adoption,3.317361111111111
Dog,Anatol Shepherd Mix,Intact Male,Intact Male,5 years,5 years,Public Assist,Normal,Return to Owner,8.99236111111111
Cat,Domestic Medium Hair Mix,Intact Female,Intact Female,2 weeks,4 weeks,Stray,Nursing,Transfer,13.09027777777778
Dog,Pit Bull Mix,Neutered Male,Neutered Male,2 years,2 years,Stray,Normal,Return to Owner,3.0125
Dog,American Bulldog Mix,Intact Male,Neutered Male,2 years,2 years,Stray,Normal,Transfer,78.83402777777778
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,4 weeks,1 month,Stray,Normal,Transfer,12.14375
Cat,Domestic Shorthair Mix,Neutered Male,Neutered Male,4 months,4 months,Owner Surrender,Normal,Adoption,1.1465277777777778
Dog,Siberian Husky,Intact Male,Intact Male,2 years,2 years,Stray,Injured,Euthanasia,18.090972222222224
Dog,Chihuahua Shorthair Mix,Intact Male,Neutered Male,1 month,2 months,Stray,Normal,Adoption,36.11388888888889
Dog,Labrador Retriever/Pit Bull,Intact Male,Neutered Male,2 months,2 months,Owner Surrender,Normal,Adoption,1.9784722222222224
Cat,Domestic Shorthair Mix,Intact Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,0.8131944444444444
Cat,Domestic Shorthair Mix,Intact Female,Intact Female,6 months,6 months,Stray,Normal,Transfer,8.98263888888889
Dog,Labrador Retriever/Australian Shepherd,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Transfer,4.192361111111111
Dog,Australian Cattle Dog/Boxer,Intact Female,Spayed Female,3 days,2 months,Stray,Nursing,Adoption,61.09305555555556
Dog,Labrador Retriever/Pit Bull,Neutered Male,Neutered Male,11 months,11 months,Stray,Normal,Transfer,4.245833333333334
Dog,Labrador Retriever Mix,Intact Male,Intact Male,1 month,1 month,Stray,Normal,Transfer,0.16319444444444445
Cat,Domestic Longhair Mix,Spayed Female,Spayed Female,10 years,10 years,Stray,Injured,Transfer,8.128472222222221
Dog,Labrador Retriever Mix,Neutered Male,Neutered Male,5 years,5 years,Stray,Normal,Return to Owner,0.5666666666666667
Dog,Miniature Poodle Mix,Intact Male,Neutered Male,1 year,1 year,Stray,Normal,Transfer,8.072916666666666
Dog,Cairn Terrier Mix,Spayed Female,Spayed Female,1 year,1 year,Stray,Normal,Return to Owner,1.038888888888889
Cat,Domestic Shorthair Mix,Spayed Female,Spayed Female,3 years,3 years,Owner Surrender,Normal,Adoption,22.899305555555557
Dog,Chihuahua Shorthair Mix,Intact Female,Spayed Female,9 months,10 months,Stray,Normal,Adoption,13.28472222222222
Dog,Pit Bull Mix,Spayed Female,Spayed Female,7 years,7 years,Owner Surrender,Normal,Return to Owner,3.986111111111111
Cat,Domestic Shorthair Mix,Intact Male,Neutered Male,2 weeks,2 months,Stray,Normal,Adoption,74.24097222222223
